sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                26.7,  -120.5153735342793,   34.68219423062001,    7216.47310005594,   544.5652044992293,   84206.57883954736,   5255751.096239406,   3613149.796526077,   -132.161946557014,   417.1131534813302,    324.192996572117,   61.76398030057218
                26.8,  -120.5156409266919,   34.68222150848341,   7269.141259833239,   546.0467728044246,    84193.4533708753,    5255792.88169129,   3613182.281430674,  -130.3467909710553,   418.5963954983453,   325.5055296757151,   61.72243224053695
                26.9,  -120.5159102749455,   34.68224898612958,   7322.008686419576,   547.5405420467564,   84180.50961021762,    5255834.81562148,   3613214.897719639,  -128.5277745422934,   420.0827228884659,   326.8206882782569,   61.68062076277456
                  27,  -120.5161815841202,   34.68227666390079,    7375.07578843087,   549.0465076801901,   84167.74794727874,   5255876.898339462,   3613247.645656814,  -126.7048239837502,   421.5721542547797,   328.1384980950027,   61.63850111657696
                27.1,  -120.5164548575371,   34.68230454214849,   7428.342977473512,   550.5646631022869,   84155.16877933612,    5255919.13015647,   3613280.525508577,  -124.8778617053966,   423.0647062172472,   329.4589841939916,    61.5960396847643
                27.2,   -120.516730100376,    34.6823326212268,   7481.810671173036,   552.0951188653995,   84142.77250601731,   5255961.511388469,   3613313.537544976,  -123.0469576592661,   424.5604791580234,   330.7822033043917,   61.55296828021697
                27.3,  -120.5170073159577,   34.68236090148485,   7535.479296189733,   553.6378163838976,   84130.55952441723,   5256004.042359186,    3613346.68204075,  -121.2119612861177,   426.0594549200563,   332.1081646764011,   61.50842411190753
                27.4,  -120.5172865097761,   34.68238938330747,   7589.349269350991,   555.1925278381875,   84118.53026296089,   5256046.723381519,   3613379.959268259,  -119.3724970679013,   427.5614900980113,   333.4368337426126,   61.46202843222851
                27.5,  -120.5175676858722,   34.68241806712405,   7643.420995887369,   556.7590766040126,   84106.68518474887,   5256089.554755483,   3613413.369497283,  -117.5282490109837,   429.0664711124628,   334.7681935794726,    61.4138375025806
                27.6,  -120.5178508504326,   34.68244695340614,   7697.694872812368,   558.3373349864504,   84095.02478144456,   5256132.536771219,   3613446.912996732,  -115.6789609900588,   430.5743137760837,   336.1022432836277,   61.36409720595456
                27.7,  -120.5181360080607,   34.68247604266458,   7752.171291949227,   559.9272173324019,   84083.54956761148,   5256175.669711764,   3613480.590036119,  -113.8244297327256,   432.0849595670132,   337.4389954074651,   61.31311179453716
                27.8,  -120.5184231653905,   34.68250533544681,   7806.850642511621,   561.5286724813428,   84072.26007586198,   5256218.953855409,   3613514.400886788,  -111.9644960871052,   433.5983708761023,   338.7784739445673,   61.26117840500506
                27.9,  -120.5187123273756,   34.68253483233649,   7861.733313163742,   563.1416768195206,   84061.15685286844,   5256262.389477469,   3613548.345823069,  -110.0990365821098,   435.1145254148827,    340.120713993979,   61.20855827356129
                  28,  -120.5190035009224,    34.6825645339518,   7916.819693653844,   564.7662275393898,   84050.24045623242,   5256305.976851794,   3613582.425123043,  -108.2279547541548,   436.6334163009366,   341.4657542831775,   61.15546757729208
                28.1,  -120.5192966911904,   34.68259444093874,   7972.110175971873,   566.4023253796138,   84039.51145197386,   5256349.716252172,   3613616.639068599,  -106.3512028618771,   438.1550378626031,   342.8136208508737,   61.10207810430182
                28.2,  -120.5195919046528,   34.68262455390457,   8027.605132328346,   568.0497238253378,   84028.97035722015,   5256393.607939277,   3613650.987926926,  -104.4700727490679,   439.6790790529461,   344.1639145538069,    61.0479809422107
                28.3,  -120.5198891446764,   34.68265487334128,   8083.304880226962,   569.7080497105246,   84018.61757298505,   5256437.652137788,   3613685.471923741,  -102.5848826400916,   441.2052128495564,   345.5163728581698,   60.99153078376089
                28.4,  -120.5201884168781,   34.68268539978945,   8139.209704311565,   571.3768814178097,   84008.45353711171,   5256481.849041716,   3613720.091270451,  -100.6950100602167,   442.7331427410345,   346.8708980101406,   60.93199613013561
                28.5,  -120.5204897256619,   34.68271613385885,    8195.31986301858,    573.055882988358,   83998.47874472245,   5256526.198818282,    3613754.84616978,   -98.7999358038368,   444.2626311668341,   348.2274145747947,   60.86944125769925
                28.6,  -120.5207930777818,   34.68274707621496,   8251.635594680905,     574.74480259674,   83988.69373743013,   5256570.701613931,   3613789.736818023,  -96.89924810695484,    445.793499206292,   349.5858691275752,   60.80427865133907
                28.7,  -120.5210984785477,   34.68277822756672,   8308.157123086974,   576.4434612620236,   83979.09909310691,   5256615.357559852,   3613824.763407121,  -94.99263102867079,   447.3256191752723,   350.9462273788565,   60.73702792665257
                28.8,  -120.5214059354145,   34.68280958865602,   8364.884662212804,   578.1517392701113,   83969.69541710593,   5256660.166776646,   3613859.926126396,  -93.07984805591062,    448.858905426042,   352.3084706995829,   60.66819562522473
                28.9,  -120.5217154542114,   34.68284116024932,   8421.818419992924,   579.8695631767816,   83960.48333515893,   5256705.129378073,   3613895.225163951,   -91.1607254785508,   450.3933053982339,   353.6725927768634,   60.59822309518871
                  29,  -120.5220270427778,   34.68287294313109,   8478.958601258695,   581.5968946019467,   83951.46348785535,   5256750.245473958,   3613930.660707749,  -89.23513760113704,    451.928791815042,   355.0385967138369,   60.52747087109525
                29.1,  -120.5223407072244,   34.68290493809884,   8536.305409956723,   583.3337211378234,   83942.63652647467,   5256795.515172394,   3613966.232946431,  -87.30299450033269,   453.4653562910876,   356.4064926619208,   60.45622115615289
