sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton._psivdx {degree},rkt.newton._thtvdx {degree},rkt.newton._dvbi {m/s},rkt.newton._SBII[0] {m},rkt.newton._SBII[1] {m},rkt.newton._SBII[2] {m},rkt.newton._VBII[0] {m/s},rkt.newton._VBII[1] {m/s},rkt.newton._VBII[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.atmosphere[0].density {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
               527.7,   129.9595076105694,    21.8162034135205,   355901.4431012617,    94.2374026453484,   12.09443016743188,   5092.764754507753,  -4198356.695509462,   4635947.598751693,   2487928.580882251,   -4387.40131792896,  -2585.429962850023,   50.14406633866081,  0.1217124090754907,-0.02038664900031312,                   0,   16.95398277463076,                   0,   997.9851850002588,-0.01481499974124745,                   0
               527.8,   129.9636587072997,   21.81591604505697,   355998.7830900848,   94.23927053803264,   12.08849002206842,   5092.596382371766,  -4198795.408191766,   4635689.025447171,   2487933.578975033,  -4386.852322555529,  -2586.036117590039,   49.81779155071295,  0.1223546189537845,-0.02158598915791797,                   0,   16.95331225486416,                   0,   997.9851850002588,-0.01481499974124745,                   0
               527.9,   129.9678096537942,    21.8156285594813,   356096.0721212244,   94.24113835160183,   12.08254940858644,   5092.428097617975,  -4199234.065972856,   4635430.391530184,   2487938.544441014,  -4386.303293646899,  -2586.642212208737,   49.49153029853528,  0.1229992139006618,-0.02278019916807476,                   0,   16.95264207916902,                   0,   997.9851850002588,-0.01481499974124745,                   0
                 528,   129.9719604501217,   21.81534095680207,   356193.3101956146,    94.2430060860673,   12.07660832717744,   5092.259900245566,  -4199672.668849378,   4635171.697006737,   2487943.477281543,  -4385.754231201382,  -2587.248246716415,   49.16528257821598,  0.1236264743375993,-0.02404471780470977,                   0,   16.95197224754822,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.1,   129.9761110963511,   21.81505323702788,   356290.4973142063,   94.24487374144039,   12.07066677803311,   5092.091790253717,  -4200111.216817983,   4634912.941882842,   2487948.377497979,  -4385.205135217288,  -2587.854221123359,   48.83904838584387,  0.1242735043118987,-0.02524166668391628,                   0,   16.95130276000457,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.2,   129.9802615925509,    21.8147654001673,     356387.63347793,   94.24674131773229,   12.06472476134486,   5091.923767641614,  -4200549.709875307,   4634654.126164511,   2487953.245091672,  -4384.656005692923,  -2588.460135439872,   48.51282771750859,  0.1249254515304895,-0.01982830561970114,                   0,   16.95063361654094,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.3,     129.98441193879,   21.81447744622888,   356484.7186877318,   94.24860881495435,   12.05878227730448,   5091.755832408434,     -4200988.148018,   4634395.249857754,   2487958.080063973,  -4384.106842626585,  -2589.065989676233,   48.18662056930032,  0.1255756745030291,-0.02102821330765168,                   0,   16.94996481716015,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.4,   129.9885621351371,   21.81418937522124,   356581.7529445505,   94.25047623311787,   12.05283932610376,   5091.587984553377,  -4201426.531242705,   4634136.312968577,    2487962.88241624,   -4383.55764601659,   -2589.67178384273,   47.86042693731007,  0.1262212523496421,-0.02224014486868406,                   0,   16.94929636186513,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.5,    129.992712181661,   21.81390118715282,   356678.7362493277,   94.25234357223411,   12.04689590793454,   5091.420224075619,   -4201864.85954608,   4633877.315502984,   2487967.652149815,  -4383.008415861227,  -2590.277517949644,   47.53424681762952,  0.1268621854991143,-0.02345707006010769,                   0,   16.94862825065866,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.6,   129.9968620784303,    21.8136128820322,   356775.6686029993,   94.25421083231436,    12.0409520229887,   5091.252550974355,  -4202303.132924761,   4633618.257466984,   2487972.389266053,  -4382.459152158798,  -2590.883192007253,   47.20808020635096,  0.1274984741358406,-0.02467898911551768,                   0,   16.94796048354366,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.7,   130.0010118255138,   21.81332445986794,    356872.550006506,    94.2560780133699,   12.03500767145823,   5091.084965248769,  -4202741.351375396,    4633359.13886658,   2487977.093766304,  -4381.909854907595,   -2591.48880602583,   46.88192709956751,  0.1281301184441545,-0.02590590226838759,                   0,   16.94729306052296,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.8,   130.0051614229802,   21.81303592066853,   356969.3804607913,   94.25794511541196,   12.02906285353509,   5090.917466898056,  -4203179.514894629,   4633099.959707784,   2487981.765651921,  -4381.360524105917,  -2592.094360015646,   46.55578749337295,  0.1287598933930659, -0.0196999894484069,                   0,   16.94662598159944,                   0,   997.9851850002588,-0.01481499974124745,                   0
               528.9,   130.0093108708981,   21.81274726444254,   357066.1599667808,   94.25981213845189,   12.02311756941151,   5090.750055921399,  -4203617.623479104,   4632840.719996586,   2487986.404924253,  -4380.811159752043,  -2592.699853986963,   46.22966138386173,  0.1219563822783185,-0.02093411094195384,                   0,   16.94595924677593,                   0,   997.9851850002588,-0.01481499974124745,                   0
                 529,   130.0134601693362,   21.81245849119848,   357162.8885254087,   94.26167908250089,   12.01717181927955,   5090.582732317996,  -4204055.677125458,   4632581.419738986,   2487991.011584647,  -4380.261761844266,   -2593.30528795005,   45.90354876712906,   0.122596195347191,-0.02216403271288406,                   0,   16.94529285605534,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.1,   130.0176093183632,   21.81216960094482,   357259.5661376212,   94.26354594757025,   12.01122560333153,   5090.415496087042,   -4204493.67583035,   4632322.058940991,   2487995.585634453,  -4379.712330380875,  -2593.910661915168,    45.5774496392708,  0.1232414882441134,-0.02338882400967837,                   0,   16.94462680944054,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.2,   130.0217583180479,   21.81188059369008,   357356.1928043533,   94.26541273367125,   12.00527892175976,   5090.248347227729,   -4204931.61959042,   4632062.637608598,   2488000.127075023,  -4379.162865360149,  -2594.515975892571,   45.25136399638347,   0.123892260539226,-0.02460848445418459,                   0,   16.94396110693438,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.3,   130.0259071684586,   21.81159146944275,   357452.7685265364,   94.26727944081513,   11.99933177475659,   5090.081285739248,  -4205369.508402307,   4631803.155747809,   2488004.635907702,  -4378.613366780366,  -2595.121229892509,   44.92529183456436,   0.124547950219029,-0.01920770972145835,                   0,   16.94329574853974,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.4,   130.0300558696642,   21.81130222821134,   357549.2933051055,   94.26914606901312,   11.99338416251446,   5089.914311620808,  -4205807.342262655,   4631543.613364617,   2488009.112133843,  -4378.063834639813,  -2595.726423925238,   44.59923314991149,  0.1252019146509256,-0.02041007978367811,                   0,   16.94263073425953,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.5,   130.0342044217333,   21.81101287000427,   357645.7671409929,   94.27101261827652,   11.98743608522592,   5089.747424871603,   -4206245.12116811,    4631284.01046502,   2488013.555754784,  -4377.514268936764,  -2596.331558001001,   44.27318793852348,  0.1258512326008344,-0.02161434916923023,                   0,   16.94196606409662,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.6,   130.0383528247344,      21.81072339483,   357742.1900351429,   94.27287908861652,   11.98148754308353,   5089.580625490827,   -4206682.84511532,    4631024.34705502,   2488017.966771876,  -4376.964669669487,   -2596.93663213004,   43.94715619649974,  0.1264959038838027,-0.02281348763959598,                   0,   16.94130173805388,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.7,   130.0425010787362,   21.81043380269703,   357838.5619884767,   94.27474548004443,   11.97553853628001,   5089.413913477684,  -4207120.514100921,   4630764.623140602,   2488022.345186469,  -4376.415036836259,  -2597.541646322593,   43.62113791994035,  0.1271226046677288,-0.02407432515654399,                   0,    16.9406377561342,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.8,   130.0466491838074,   21.81014409361386,   357934.8830019357,   94.27661179257149,   11.96958906500813,   5089.247288831376,   -4207558.12812157,   4630504.838727757,   2488026.690999913,  -4375.865370435349,  -2598.146600588897,   43.29513310494603,  0.1277647079469099,-0.02527115958302827,                   0,   16.93997411834048,                   0,   997.9851850002588,-0.01481499974124745,                   0
               529.9,   130.0507971400165,   21.80985426758885,   358031.1530764392,   94.27847802620893,   11.96363912946063,   5089.080751551108,  -4207995.687173895,    4630244.99382248,   2488031.004213543,  -4375.315670465024,  -2598.751494939187,   42.96914174761832,  0.1217935006521994,-0.01903467823836653,                   0,   16.93931082467562,                   0,   997.9851850002588,-0.01481499974124745,                   0
                 530,   130.0549449474319,    21.8095643246305,   358127.3722129306,   94.28034418096796,    11.9576887298303,   5088.914301636076,  -4208433.191254543,   4629985.088430764,   2488035.284828711,  -4374.765936923543,  -2599.356329383687,    42.6431638440593,  0.1224267139875311,-0.02023452552698423,                   0,   16.93864787514248,                   0,   997.9851850002588,-0.01481499974124745,                   0
               530.1,   130.0590926061224,   21.80927426474722,   358223.5404123394,   94.28221025685981,   11.95173786631013,    5088.74793908549,  -4208870.640360161,   4629725.122558603,   2488039.532846764,  -4374.216169809171,  -2599.961103932625,   42.31719939037188,  0.1230623097290749,-0.02142924355479531,                   0,   16.93798526974398,                   0,   997.9851850002588,-0.01481499974124745,                   0
               530.2,   130.0632401161566,   21.80898408794742,   358319.6576755866,   94.28407625389576,   11.94578653909315,   5088.581663898553,  -4209308.034487383,   4629465.096211975,    2488043.74826904,  -4373.666369120168,  -2600.565818596222,   41.99124838265962,  0.1236932573258559,-0.02261883183135964,                   0,   16.93732300848301,                   0,   997.9851850002588,-0.01481499974124745,                   0
               530.3,   130.0673874776028,   21.80869379423952,   358415.7240036111,     94.285942172087,   11.93983474837242,   5088.415476074478,  -4209745.373632862,   4629205.009396875,   2488047.931096888,  -4373.116534854794,  -2601.170473384698,   41.66531081702677,  0.1243195563469447, -0.0238032905958515,                   0,   16.93666109136248,                   0,   997.9851850002588,-0.01481499974124745,                   0
               530.4,   130.0715346905298,   21.80840338363193,    358511.739397346,   94.28780801144481,   11.93388249434117,   5088.249375612472,  -4210182.657793239,   4628944.862119292,   2488052.081331651,  -4372.566667011308,  -2601.775068308263,   41.33938668957832,  0.1249412063612048,-0.02498262008766965,                   0,   16.93599951838531,                   0,   997.9851850002588,-0.01481499974124745,                   0
